Message;Time;Longitude;Latitude;Technology_Mode;NR_UE_PCI_0;NR_UE_RSRP_0;NR_UE_RSRQ_0;NR_UE_SINR_0;NR_UE_Nbr_PCI_0;NR_UE_Nbr_PCI_1;NR_UE_Nbr_PCI_2;NR_UE_Nbr_PCI_3;NR_UE_Nbr_PCI_4;NR_UE_Nbr_RSRP_0;NR_UE_Nbr_RSRP_1;NR_UE_Nbr_RSRP_2;NR_UE_Nbr_RSRP_3;NR_UE_Nbr_RSRP_4;NR_UE_Nbr_RSRQ_0;NR_UE_Nbr_RSRQ_1;NR_UE_Nbr_RSRQ_2;NR_UE_Nbr_RSRQ_3;NR_UE_Nbr_RSRQ_4;NR_UE_Timing_Advance
1727;14/Mar/25 12:14:57;29.02862;41.10676;5GSA;;;;;;;;;;;;;;;;;;;;4
3748;14/Mar/25 12:15:25;29.02766;41.10544;5GSA;;;;;;;;;;;;;;;;;;;;1
7267;14/Mar/25 12:16:14;29.02313;41.10472;5GSA;;;;;;;;;;;;;;;;;;;;4
8974;14/Mar/25 12:16:36;29.02158;41.10455;5GSA;;;;;;;;;;;;;;;;;;;;1
12074;14/Mar/25 12:17:19;29.01982;41.10512;5GSA;;;;;;;;;;;;;;;;;;;;3
14518;14/Mar/25 12:17:53;29.02161;41.10637;5GSA;;;;;;;;;;;;;;;;;;;;4
18583;14/Mar/25 12:18:50;29.02251;41.10762;5GSA;;;;;;;;;;;;;;;;;;;;2
22499;14/Mar/25 12:19:44;29.02619;41.10775;5GSA;;;;;;;;;;;;;;;;;;;;4
24810;14/Mar/25 12:20:14;29.02646;41.1062;5GSA;;;;;;;;;;;;;;;;;;;;4
25272;14/Mar/25 12:20:20;29.02652;41.10591;5GSA;;;;;;;;;;;;;;;;;;;;8
29088;14/Mar/25 12:21:12;29.02343;41.10475;5GSA;;;;;;;;;;;;;;;;;;;;4
30770;14/Mar/25 12:21:34;29.02276;41.10566;5GSA;;;;;;;;;;;;;;;;;;;;5
31311;14/Mar/25 12:21:41;29.02266;41.10612;5GSA;;;;;;;;;;;;;;;;;;;;4
33199;14/Mar/25 12:22:09;29.0236;41.10765;5GSA;;;;;;;;;;;;;;;;;;;;0
33231;14/Mar/25 12:22:09;29.0236;41.10765;5GSA;;;;;;;;;;;;;;;;;;;;2
33261;14/Mar/25 12:22:09;29.0236;41.10765;5GSA;;;;;;;;;;;;;;;;;;;;2
34976;14/Mar/25 12:22:33;29.02602;41.10785;5GSA;;;;;;;;;;;;;;;;;;;;5
36381;14/Mar/25 12:22:52;29.02808;41.10804;5GSA;;;;;;;;;;;;;;;;;;;;1
38019;14/Mar/25 12:23:14;29.02914;41.10762;5GSA;;;;;;;;;;;;;;;;;;;;7
38540;14/Mar/25 12:23:20;29.02911;41.10739;5GSA;;;;;;;;;;;;;;;;;;;;4
39319;14/Mar/25 12:23:31;29.02856;41.10683;5GSA;;;;;;;;;;;;;;;;;;;;4
42261;14/Mar/25 12:24:12;29.02736;41.10786;5GSA;;;;;;;;;;;;;;;;;;;;2
44299;14/Mar/25 12:24:38;29.02511;41.10783;5GSA;;;;;;;;;;;;;;;;;;;;4
47797;14/Mar/25 12:25:26;29.02181;41.10801;5GSA;;;;;;;;;;;;;;;;;;;;4
49968;14/Mar/25 12:25:55;29.01952;41.10764;5GSA;;;;;;;;;;;;;;;;;;;;16
50367;14/Mar/25 12:26:00;29.01928;41.10757;5GSA;;;;;;;;;;;;;;;;;;;;13
50674;14/Mar/25 12:26:03;29.01915;41.10753;5GSA;;;;;;;;;;;;;;;;;;;;25
51339;14/Mar/25 12:26:12;29.01889;41.10739;5GSA;;;;;;;;;;;;;;;;;;;;20
51686;14/Mar/25 12:26:16;29.0186;41.10735;5GSA;;;;;;;;;;;;;;;;;;;;13
52176;14/Mar/25 12:26:22;29.01792;41.10727;5GSA;;;;;;;;;;;;;;;;;;;;35
53387;14/Mar/25 12:26:37;29.0164;41.10681;5GSA;;;;;;;;;;;;;;;;;;;;17
53806;14/Mar/25 12:26:42;29.01601;41.10657;5GSA;;;;;;;;;;;;;;;;;;;;30
59093;14/Mar/25 12:27:51;29.01702;41.10363;5GSA;;;;;;;;;;;;;;;;;;;;11
61757;14/Mar/25 12:28:27;29.01833;41.10173;5GSA;;;;;;;;;;;;;;;;;;;;36
68388;14/Mar/25 12:29:58;29.02693;41.09932;5GSA;;;;;;;;;;;;;;;;;;;;0
68993;14/Mar/25 12:30:25;29.03005;41.09957;5GSA;;;;;;;;;;;;;;;;;;;;10
69267;14/Mar/25 12:30:32;29.03086;41.09974;5GSA;;;;;;;;;;;;;;;;;;;;8
69324;14/Mar/25 12:30:32;29.03086;41.09974;5GSA;;;;;;;;;;;;;;;;;;;;10
69773;14/Mar/25 12:31:19;29.02721;41.09942;5GSA;;;;;;;;;;;;;;;;;;;;22
70099;14/Mar/25 12:31:25;29.02637;41.09903;5GSA;;;;;;;;;;;;;;;;;;;;0
70288;14/Mar/25 12:31:40;29.02385;41.09923;5GSA;;;;;;;;;;;;;;;;;;;;26
